Rowid,Timestamp,Vehicle_num,Vehicle_type,Num_of_axles,Tollplaza_id,Tollplaza_code,Payment_type_code,Vehicle_Code
35.0,Sun Aug  1 09:10:05 2021,3714822,TRUCK,4,4090.0,PC1EE951B,PTE,VCB43
36.0,Sat Aug  7 13:11:54 2021,9870882,VAN,2,4383.0,PC4BFE950,PTE,VCB43
37.0,Tue Aug 10 01:27:00 2021,834998,CAR,2,4449.0,PCAACD453,PTC,VCD2F
38.0,Tue Aug 10 14:31:35 2021,6715866,CAR,2,4351.0,PC4E572D8,PTP,VC965
39.0,Sun Aug  8 09:43:26 2021,9723146,CAR,2,4159.0,PC5631507,PTE,VC965
40.0,Mon Aug  2 16:18:51 2021,2871310,CAR,2,4018.0,PCCB2657A,PTC,VC965
41.0,Sat Aug 14 13:13:47 2021,7657312,VAN,2,4827.0,PC7D68CD9,PTE,VC965
42.0,Tue Aug  3 03:53:05 2021,9802000,CAR,2,4115.0,PCF5D4B0A,PTC,VCD2F
43.0,Mon Aug 16 00:36:00 2021,6514220,CAR,2,4102.0,PC8C9B099,PTE,VC965
44.0,Fri Aug 20 02:10:55 2021,3803763,CAR,2,4398.0,PCE60D320,PTP,VC965
45.0,Sat Aug 14 06:32:07 2021,2223161,CAR,2,4918.0,PC8F8E598,PTE,VC965
46.0,Fri Jul 30 02:19:56 2021,1228573,TRUCK,4,4984.0,PCBABF130,PTP,VC965
47.0,Wed Aug  4 14:30:03 2021,4872795,CAR,2,4460.0,PCDF04952,PTP,VCB43
48.0,Sat Aug 14 04:04:45 2021,2074513,VAN,2,4326.0,PC356AE8F,PTC,VC965
49.0,Thu Aug 12 04:58:14 2021,7368256,CAR,2,4600.0,PCB99E8F9,PTE,VCD2F
50.0,Wed Aug 11 10:50:27 2021,2168309,CAR,2,4735.0,PC2294422,PTE,VC965
51.0,Sun Aug  8 08:37:17 2021,5131457,CAR,2,4162.0,PC51A39A7,PTP,VC965
52.0,Mon Aug  9 23:48:43 2021,2398430,CAR,2,4012.0,PCEF5C190,PTC,VC965
53.0,Wed Aug 18 17:50:45 2021,6065595,VAN,2,4223.0,PCA37D114,PTC,VC965
54.0,Mon Aug  2 16:59:38 2021,9885768,CAR,2,4990.0,PCFE28E92,PTP,VCD2F
55.0,Thu Aug 19 04:54:56 2021,4327783,CAR,2,4154.0,PC2C2EF9E,PTP,VC965
56.0,Tue Aug 17 18:11:45 2021,3904834,TRUCK,4,4913.0,PC685427C,PTC,VC965
57.0,Mon Aug  2 19:48:50 2021,1358382,CAR,2,4388.0,PC803F0F2,PTP,VCB43
58.0,Tue Aug 17 16:46:31 2021,3579992,CAR,2,4299.0,PCAD3B9BC,PTC,VC965
59.0,Wed Aug 11 22:21:30 2021,8130760,CAR,2,4725.0,PCB905D54,PTC,VC965
60.0,Fri Jul 30 09:54:24 2021,6546218,CAR,2,4229.0,PCD0DDD3D,PTE,VC965
61.0,Sat Aug  7 16:42:24 2021,3673515,CAR,2,4354.0,PC0671DD4,PTC,VC965
62.0,Wed Aug  4 20:43:54 2021,9888875,TRUCK,4,4127.0,PCA2D76A5,PTC,VC965
63.0,Sat Aug  7 20:44:08 2021,8136080,TRUCK,4,4522.0,PC0A326BE,PTP,VCB43
64.0,Thu Aug 12 19:23:36 2021,2078447,VAN,2,4410.0,PC6EFC03B,PTP,VCB43
65.0,Sat Aug  7 16:41:49 2021,8090807,CAR,2,4689.0,PC89C35AD,PTC,VCD2F
66.0,Sun Aug  1 07:32:04 2021,4309692,CAR,2,4296.0,PCA24C1E1,PTC,VC965
67.0,Wed Aug 11 14:24:25 2021,3752767,CAR,2,4303.0,PC2E2E0C0,PTC,VC965
68.0,Wed Aug  4 23:10:29 2021,9407219,CAR,2,4346.0,PCA35B156,PTC,VC965
69.0,Wed Aug  4 14:29:11 2021,2167845,VAN,2,4253.0,PC82A16E6,PTE,VC965
70.0,Tue Aug 17 01:20:54 2021,7903517,CAR,2,5007.0,PC869BDE8,PTP,VCD2F
71.0,Sat Aug 21 02:09:35 2021,7385817,CAR,2,4534.0,PCAD9E1F9,PTP,VC965
72.0,Thu Aug 19 17:52:30 2021,5673776,CAR,2,4742.0,PC05B8749,PTP,VC965
73.0,Tue Aug 17 21:58:23 2021,823973,CAR,2,4944.0,PC41EEC34,PTC,VC965
74.0,Tue Aug 10 13:03:36 2021,9361361,CAR,2,4171.0,PC36C9AE8,PTC,VC965
75.0,Sat Aug 21 19:25:57 2021,8744445,CAR,2,4750.0,PCD987A9D,PTP,VC965
76.0,Sun Aug  8 14:01:06 2021,2910050,CAR,2,4878.0,PC08F56A1,PTE,VC965
77.0,Thu Aug  5 11:21:12 2021,1686323,CAR,2,4274.0,PC88EA64E,PTP,VC965
78.0,Sun Aug  1 07:10:55 2021,9113006,CAR,2,4377.0,PC4AC8EAD,PTE,VC965
79.0,Fri Jul 30 15:53:32 2021,660597,CAR,2,4265.0,PC5B2AFFA,PTE,VC965
80.0,Sun Aug 22 16:38:30 2021,8500934,CAR,2,4304.0,PC89FB76E,PTC,VC965
81.0,Thu Aug 19 13:11:29 2021,395519,TRUCK,4,4797.0,PCE2D63A7,PTE,VC965
82.0,Mon Aug  9 14:17:00 2021,2616607,TRUCK,4,4061.0,PC3A63A79,PTP,VCB43
83.0,Sat Aug 14 10:36:28 2021,7218572,CAR,2,4085.0,PC6150735,PTC,VCB43
84.0,Thu Aug 12 11:53:03 2021,994857,TRUCK,4,4675.0,PCE49911B,PTC,VC965
85.0,Mon Aug  2 20:12:17 2021,3168436,CAR,2,4997.0,PC8111910,PTC,VCB43
86.0,Fri Aug 13 20:06:41 2021,1572712,CAR,2,4241.0,PC7241796,PTC,VC965
87.0,Thu Jul 29 17:35:21 2021,545955,CAR,2,4890.0,PCAFC8A56,PTP,VC965
88.0,Sun Aug 22 05:39:41 2021,2013386,CAR,2,4537.0,PC10C700F,PTP,VC965
89.0,Wed Aug 11 02:43:03 2021,6566889,CAR,2,4743.0,PCE6EEF2E,PTE,VC965
90.0,Wed Aug 11 02:39:24 2021,852585,CAR,2,4026.0,PC2CE9851,PTC,VC965
91.0,Thu Jul 29 14:30:02 2021,6196238,TRUCK,4,4373.0,PC8806694,PTE,VC965
92.0,Mon Aug  2 11:07:12 2021,6031416,TRUCK,4,4116.0,PCCA836C9,PTC,VCB43
93.0,Wed Aug  4 15:15:09 2021,6905906,VAN,2,4785.0,PC787D664,PTP,VCB43
94.0,Wed Aug 11 17:34:54 2021,3764238,CAR,2,5002.0,PC585BD38,PTP,VCD2F
95.0,Thu Aug  5 06:31:23 2021,1673826,TRUCK,4,4728.0,PC07BF95F,PTC,VC965
96.0,Sat Aug 21 18:13:29 2021,316662,CAR,2,4015.0,PC524833E,PTE,VCB43
97.0,Thu Aug 19 22:17:26 2021,2992127,TRUCK,4,4817.0,PCFF02057,PTP,VC965
98.0,Thu Aug 19 12:02:31 2021,7517992,CAR,2,4857.0,PC59F4E22,PTC,VCB43
99.0,Thu Aug 12 06:54:12 2021,6232948,TRUCK,4,4724.0,PC3DE08BF,PTC,VC965
100.0,Fri Jul 30 08:09:03 2021,4369477,CAR,2,4725.0,PCB905D54,PTP,VCB43
101.0,Fri Aug  6 18:18:53 2021,4388245,TRUCK,4,4591.0,PCC9875AC,PTC,VC965
102.0,Sat Aug  7 20:49:07 2021,8392508,CAR,2,4792.0,PC3E35002,PTP,VCB43
103.0,Fri Jul 30 16:08:08 2021,6858708,CAR,2,4927.0,PC2D22627,PTE,VC965
104.0,Fri Aug  6 06:59:16 2021,6215048,TRUCK,4,4397.0,PCB070250,PTE,VC965
105.0,Fri Aug 13 11:20:04 2021,7046549,TRUCK,4,4195.0,PC308070B,PTP,VCB43
106.0,Wed Aug  4 18:37:46 2021,7899881,TRUCK,4,4336.0,PCD30AB50,PTE,VCB43
107.0,Fri Aug 20 01:13:53 2021,9824238,CAR,2,4520.0,PC8140983,PTP,VCB43
108.0,Sun Aug  8 10:25:38 2021,8180012,CAR,2,4328.0,PC3777B8E,PTE,VC965
109.0,Tue Aug 10 12:42:19 2021,426578,CAR,2,4749.0,PC65C93B7,PTC,VC965
110.0,Thu Jul 29 11:33:20 2021,3284775,CAR,2,4990.0,PCFE28E92,PTP,VC965
111.0,Sat Jul 31 18:42:46 2021,5487227,CAR,2,4231.0,PC016D687,PTP,VC965
112.0,Thu Aug 12 23:09:32 2021,1772941,CAR,2,4643.0,PC6713209,PTC,VC965
113.0,Fri Aug 13 04:52:01 2021,2471284,VAN,2,4121.0,PCEC57A8E,PTP,VC965
114.0,Sun Aug 22 03:05:40 2021,6040036,CAR,2,4400.0,PC3BD7D63,PTP,VCD2F
115.0,Fri Aug 13 12:39:10 2021,9249042,TRUCK,4,4119.0,PC9EBEDB5,PTE,VC965
116.0,Mon Aug  9 22:59:28 2021,5791925,CAR,2,4695.0,PC4A5D62F,PTE,VCB43
117.0,Fri Aug  6 01:01:14 2021,3696614,TRUCK,4,4495.0,PC210A754,PTC,VC965
118.0,Mon Aug  2 05:42:51 2021,7892550,CAR,2,4434.0,PCA491459,PTE,VCB43
119.0,Sun Aug  1 19:31:14 2021,5673214,VAN,2,4299.0,PCAD3B9BC,PTC,VC965
120.0,Fri Aug  6 05:58:42 2021,6657095,TRUCK,4,4023.0,PC77793DF,PTE,VCD2F
121.0,Mon Aug  9 16:03:31 2021,2067579,VAN,2,4365.0,PC0F226DF,PTC,VCB43
122.0,Fri Aug 13 11:42:48 2021,1005686,CAR,2,4582.0,PC98750ED,PTC,VCD2F
123.0,Sun Aug  8 02:44:35 2021,7521772,VAN,2,4119.0,PC9EBEDB5,PTE,VC965
124.0,Sun Aug 15 08:43:48 2021,6545042,CAR,2,4416.0,PC546F252,PTE,VCD2F
125.0,Mon Aug  9 05:03:17 2021,3473929,TRUCK,4,4898.0,PC0AE9E1B,PTP,VC965
126.0,Sun Aug 22 02:13:18 2021,29457,CAR,2,4698.0,PC8BCEB19,PTE,VCB43
127.0,Sat Aug 21 23:03:24 2021,7360318,CAR,2,4416.0,PC546F252,PTP,VC965
128.0,Tue Aug 17 10:32:29 2021,3427163,TRUCK,4,4993.0,PC0F0AB4E,PTE,VC965
129.0,Fri Jul 30 08:44:05 2021,3007179,VAN,2,4356.0,PCF1979AE,PTE,VCB43
130.0,Fri Aug 20 06:01:27 2021,2151509,CAR,2,4504.0,PC461DCD3,PTP,VCD2F
131.0,Sat Jul 31 05:17:21 2021,1067960,CAR,2,4811.0,PCBF83C7A,PTC,VC965
132.0,Tue Aug  3 07:01:26 2021,1100257,CAR,2,4574.0,PCC1F6F13,PTC,VC965
133.0,Sun Aug 22 10:01:40 2021,4346999,CAR,2,4116.0,PCCA836C9,PTE,VC965
134.0,Sat Aug 14 17:24:04 2021,4371005,CAR,2,4049.0,PC4779D38,PTC,VC965
135.0,Sat Aug 14 11:50:01 2021,1583109,CAR,2,4435.0,PC3E78C17,PTP,VC965
136.0,Wed Aug 18 07:26:20 2021,8808595,CAR,2,4272.0,PC09BDC08,PTE,VC965
137.0,Thu Aug  5 01:15:16 2021,1841800,VAN,2,4929.0,PC9E503B6,PTE,VC965
138.0,Sat Jul 31 00:28:44 2021,1825050,CAR,2,4531.0,PC857F4A0,PTE,VCD2F
139.0,Fri Aug 13 09:54:01 2021,8490556,CAR,2,4222.0,PC15EC378,PTP,VC965
140.0,Thu Jul 29 23:02:42 2021,2549393,TRUCK,4,4657.0,PCC591410,PTE,VC965
141.0,Wed Aug 11 13:15:55 2021,9636921,TRUCK,4,4481.0,PC30AAE76,PTE,VCB43
142.0,Thu Aug 19 21:13:57 2021,8899022,TRUCK,4,4145.0,PC5FBE4B8,PTP,VCB43
143.0,Thu Aug 19 08:46:24 2021,8112100,VAN,2,4813.0,PCACF7982,PTP,VCB43
144.0,Thu Jul 29 16:02:19 2021,335366,CAR,2,4585.0,PCF3AE602,PTC,VCD2F
145.0,Sat Jul 31 19:32:50 2021,1716955,TRUCK,4,4924.0,PCE3427C5,PTE,VC965
146.0,Sat Aug 21 13:56:33 2021,4153555,VAN,2,4584.0,PC1085B78,PTE,VCB43
147.0,Sat Jul 31 12:55:05 2021,5626263,CAR,2,4225.0,PCC1ED0C5,PTC,VCD2F
148.0,Fri Aug  6 23:05:57 2021,49472,CAR,2,4719.0,PCBD66B01,PTE,VC965
149.0,Thu Aug  5 15:24:15 2021,2497636,CAR,2,4830.0,PC12EEFE0,PTE,VC965
150.0,Tue Aug  3 19:13:15 2021,7825358,TRUCK,4,4073.0,PCA3797CA,PTE,VC965
151.0,Sat Jul 31 11:27:59 2021,6084818,VAN,2,4954.0,PCA276EBB,PTC,VCB43
152.0,Thu Aug 19 18:53:39 2021,5455899,CAR,2,4732.0,PCD83DE25,PTE,VCD2F
153.0,Tue Aug 17 22:11:51 2021,1849505,VAN,2,4155.0,PC9042B3F,PTP,VC965
154.0,Wed Aug 18 19:49:38 2021,6114302,CAR,2,4142.0,PC7ACFF7C,PTP,VCD2F
155.0,Sun Aug 15 12:34:18 2021,8064123,CAR,2,4737.0,PCED7EAFE,PTC,VC965
156.0,Fri Aug  6 19:17:50 2021,538972,TRUCK,4,4337.0,PCCF6A454,PTP,VC965
157.0,Fri Jul 30 13:58:53 2021,6869546,TRUCK,4,4507.0,PC11DCA73,PTE,VCB43
158.0,Mon Aug  2 16:00:33 2021,3766512,CAR,2,4092.0,PC40C2E00,PTE,VCB43
159.0,Fri Aug 20 21:45:41 2021,3528403,CAR,2,4269.0,PCC7106FF,PTP,VC965
160.0,Fri Aug 20 04:59:50 2021,4380057,VAN,2,4610.0,PCA4D3E9B,PTC,VC965
161.0,Sun Aug 15 00:36:59 2021,7876599,CAR,2,4980.0,PCBD5C822,PTP,VCD2F
162.0,Fri Aug 13 00:25:06 2021,969619,CAR,2,4295.0,PCD483999,PTC,VC965
163.0,Fri Jul 30 13:42:03 2021,5763049,CAR,2,4412.0,PC821BC98,PTP,VC965
164.0,Mon Aug 16 05:46:00 2021,6079402,TRUCK,4,4364.0,PCB33ACE8,PTC,VC965
165.0,Sun Aug  1 22:59:23 2021,4832816,CAR,2,4290.0,PC84E8CEF,PTE,VCB43
166.0,Fri Aug 20 12:19:46 2021,3518759,TRUCK,4,4264.0,PC9DFEBB0,PTP,VC965
167.0,Sat Jul 31 02:42:05 2021,4469770,TRUCK,4,4412.0,PC821BC98,PTE,VCB43
168.0,Fri Aug  6 11:25:34 2021,7942552,TRUCK,4,4712.0,PC94168A2,PTP,VCB43
169.0,Tue Aug 17 21:17:32 2021,2493747,TRUCK,4,4603.0,PC485BE5B,PTC,VCB43
170.0,Tue Aug  3 15:31:28 2021,8099060,CAR,2,4180.0,PC250A90D,PTC,VCB43
171.0,Fri Aug 20 22:50:25 2021,4492765,TRUCK,4,4592.0,PC627AA14,PTE,VC965
172.0,Fri Aug  6 07:45:56 2021,5758058,CAR,2,4008.0,PC5680D80,PTC,VCB43
173.0,Thu Aug 19 00:24:55 2021,9496559,CAR,2,4083.0,PC90346C9,PTC,VC965
174.0,Fri Jul 30 02:24:22 2021,3174341,CAR,2,4573.0,PC4D8469D,PTE,VC965
175.0,Fri Aug 13 05:55:34 2021,3318165,CAR,2,4642.0,PC17D596F,PTP,VC965
176.0,Mon Aug  2 14:28:14 2021,7509515,TRUCK,4,4693.0,PCB4CDDA5,PTP,VC965
177.0,Tue Aug  3 12:47:44 2021,367073,CAR,2,4787.0,PC1BDA119,PTE,VCB43
178.0,Sun Aug  8 09:26:56 2021,8543348,TRUCK,4,4989.0,PC7D7AE48,PTP,VC965
179.0,Fri Aug 20 04:16:14 2021,4588656,CAR,2,4803.0,PC2BBEEDC,PTP,VCB43
180.0,Fri Aug 20 04:22:16 2021,9706662,CAR,2,4848.0,PCF0FC9B2,PTE,VC965
181.0,Tue Aug 10 03:28:33 2021,3359010,CAR,2,4377.0,PC4AC8EAD,PTC,VC965
182.0,Wed Aug 18 11:24:47 2021,7639441,CAR,2,4947.0,PCE4A44BE,PTC,VC965
183.0,Tue Aug  3 08:52:25 2021,9449600,CAR,2,4439.0,PC845CEA6,PTE,VC965
184.0,Wed Aug 11 06:39:10 2021,7572233,CAR,2,4346.0,PCA35B156,PTE,VC965
185.0,Fri Aug 20 03:23:49 2021,7096671,TRUCK,4,4718.0,PC81E83B9,PTP,VC965
186.0,Fri Jul 30 23:54:00 2021,6218100,CAR,2,4049.0,PC4779D38,PTP,VCB43
187.0,Wed Aug 11 07:11:55 2021,9500467,VAN,2,4579.0,PC926F0A9,PTC,VC965
188.0,Sun Aug 15 20:41:12 2021,2551672,TRUCK,4,4985.0,PCCA71D2C,PTC,VCD2F
189.0,Wed Aug 18 18:28:36 2021,4423795,CAR,2,4356.0,PCF1979AE,PTP,VCB43
190.0,Mon Aug  9 07:19:12 2021,1520424,CAR,2,4631.0,PCFFF6463,PTE,VC965
191.0,Tue Aug 10 16:39:12 2021,5680437,CAR,2,4898.0,PC0AE9E1B,PTE,VC965
192.0,Mon Aug  9 02:30:05 2021,1469208,VAN,2,4022.0,PCF135377,PTC,VC965
193.0,Mon Aug  9 06:58:52 2021,9017449,CAR,2,4586.0,PC4A40D50,PTC,VCD2F
194.0,Sat Aug  7 03:09:03 2021,9014873,TRUCK,4,4733.0,PC797AEBF,PTP,VC965
195.0,Sat Aug  7 21:03:28 2021,6849933,CAR,2,4764.0,PCF6B0D12,PTC,VCB43
196.0,Sun Aug  1 00:29:43 2021,1907386,CAR,2,4466.0,PC6E93A05,PTE,VC965
197.0,Sun Aug  1 01:56:36 2021,5556619,TRUCK,4,4158.0,PCAA68777,PTP,VC965
198.0,Tue Aug 17 00:22:53 2021,8724319,TRUCK,4,4111.0,PC07F012A,PTP,VCB43
199.0,Mon Aug  9 08:24:12 2021,4066334,CAR,2,4591.0,PCC9875AC,PTC,VCB43
200.0,Sat Jul 31 19:46:31 2021,1208453,CAR,2,4015.0,PC524833E,PTE,VC965
201.0,Fri Aug  6 18:13:51 2021,8705286,TRUCK,4,4420.0,PCFDB2950,PTE,VC965
202.0,Thu Aug 12 00:17:15 2021,758555,CAR,2,4924.0,PCE3427C5,PTE,VCB43
203.0,Tue Aug 10 22:07:00 2021,7388283,CAR,2,4501.0,PC5D41947,PTP,VC965
204.0,Sun Aug  8 07:16:20 2021,7589773,CAR,2,4026.0,PC2CE9851,PTE,VC965
205.0,Wed Aug 18 08:29:07 2021,2316095,CAR,2,4280.0,PC03A5F23,PTE,VC965
206.0,Tue Aug 10 20:36:42 2021,1847455,VAN,2,4953.0,PC1E2B07E,PTP,VC965
207.0,Fri Aug 13 05:36:53 2021,7707016,CAR,2,4923.0,PC8A7A22A,PTE,VCD2F
208.0,Sun Aug  1 04:10:44 2021,2616520,TRUCK,4,4283.0,PC953B572,PTP,VC965
209.0,Sun Aug 15 11:41:43 2021,8332760,TRUCK,4,4899.0,PC4967767,PTE,VCB43
210.0,Mon Aug  9 05:19:02 2021,9677148,CAR,2,4560.0,PC5030572,PTP,VCB43
211.0,Wed Aug  4 19:23:36 2021,2695699,CAR,2,4037.0,PC0A50259,PTP,VC965
212.0,Fri Aug 20 04:00:27 2021,1836057,CAR,2,4610.0,PCA4D3E9B,PTC,VC965
213.0,Wed Aug 18 09:20:33 2021,7980271,TRUCK,4,4775.0,PCA50FB36,PTP,VC965
214.0,Sat Jul 31 01:41:58 2021,9166253,CAR,2,4414.0,PC40BD0F3,PTP,VCB43
215.0,Mon Aug  2 20:26:27 2021,5966610,CAR,2,4915.0,PC86B0D7B,PTC,VC965
216.0,Tue Aug 10 14:11:13 2021,8273227,CAR,2,4618.0,PC8F4AF85,PTE,VC965
217.0,Tue Aug 17 11:21:41 2021,4772310,CAR,2,4909.0,PCDED6F20,PTP,VC965
218.0,Thu Aug 12 01:18:11 2021,401226,CAR,2,4497.0,PC76FDDEA,PTP,VC965
219.0,Mon Aug  2 22:30:06 2021,5259884,VAN,2,4401.0,PC0606D6A,PTC,VC965
220.0,Thu Aug 12 13:20:29 2021,4560546,CAR,2,4284.0,PC0DB49FD,PTE,VCD2F
221.0,Fri Aug  6 23:10:56 2021,3679257,TRUCK,4,4235.0,PCFB11406,PTC,VC965
222.0,Sun Aug  8 01:28:48 2021,5001460,CAR,2,4482.0,PCB6A16D7,PTE,VCB43
223.0,Thu Aug 12 14:26:03 2021,488809,CAR,2,4981.0,PC6B14C5D,PTC,VC965
224.0,Sun Aug 15 16:57:15 2021,4435309,CAR,2,4175.0,PC08EA270,PTE,VC965
225.0,Fri Aug  6 17:35:18 2021,9206176,CAR,2,4188.0,PCDB12C82,PTE,VC965
226.0,Sat Aug  7 03:08:44 2021,5665208,TRUCK,4,4015.0,PC524833E,PTC,VC965
227.0,Sun Aug  1 05:31:31 2021,3619766,CAR,2,4230.0,PC19CE0DB,PTP,VCB43
228.0,Wed Aug 18 09:22:29 2021,8195160,CAR,2,4686.0,PCD6E5E77,PTC,VC965
229.0,Wed Aug  4 05:40:04 2021,689804,TRUCK,4,4123.0,PCDE850D8,PTE,VC965
230.0,Mon Aug 16 02:36:38 2021,7671204,CAR,2,4283.0,PC953B572,PTC,VCB43
231.0,Fri Aug  6 19:31:40 2021,7549660,TRUCK,4,4016.0,PCCD7399B,PTC,VC965
232.0,Mon Aug  2 17:00:36 2021,6999001,CAR,2,4504.0,PC461DCD3,PTC,VCB43
233.0,Thu Aug 12 15:17:57 2021,3470780,TRUCK,4,4377.0,PC4AC8EAD,PTE,VC965
234.0,Sat Aug  7 15:21:43 2021,3321932,CAR,2,4971.0,PC0BD172F,PTC,VCB43
235.0,Mon Aug  9 04:56:23 2021,2993477,TRUCK,4,4031.0,PC0214185,PTC,VC965
236.0,Fri Aug 13 09:02:27 2021,7137012,CAR,2,4965.0,PCA0BAE0F,PTE,VCB43
237.0,Mon Aug  2 07:55:35 2021,4425207,CAR,2,4350.0,PCEDD7E85,PTC,VC965
238.0,Sat Aug 14 11:54:16 2021,8906007,CAR,2,4232.0,PC4156AD5,PTP,VC965
239.0,Sat Jul 31 04:23:09 2021,2613132,CAR,2,4592.0,PC627AA14,PTE,VC965
240.0,Mon Aug 16 01:53:03 2021,1351738,TRUCK,4,4760.0,PC161AC8D,PTP,VC965
241.0,Sat Aug 14 11:49:22 2021,8845283,CAR,2,5002.0,PC585BD38,PTE,VCB43
242.0,Wed Aug 18 19:07:34 2021,5207716,CAR,2,4974.0,PCDEB8E32,PTE,VC965
243.0,Mon Aug  9 05:34:28 2021,2593435,CAR,2,4361.0,PC2E0C888,PTE,VC965
244.0,Sat Aug 14 08:00:30 2021,3194131,CAR,2,4946.0,PCCF18BAF,PTP,VC965
245.0,Sat Aug 14 08:01:53 2021,946473,CAR,2,4314.0,PC7E9E8F3,PTC,VC965
246.0,Mon Aug  2 19:28:13 2021,2098761,TRUCK,4,4784.0,PCDB42B34,PTE,VC965
247.0,Wed Aug 11 02:53:00 2021,7556070,VAN,2,4611.0,PC2EBEAB9,PTE,VCB43
248.0,Fri Aug 13 20:51:49 2021,7949412,CAR,2,4515.0,PC6A1B37B,PTP,VCD2F
249.0,Mon Aug 16 01:15:58 2021,4982057,CAR,2,4531.0,PC857F4A0,PTC,VC965
250.0,Sun Aug 15 04:10:44 2021,1732371,CAR,2,4070.0,PCEECA8B2,PTE,VC965
251.0,Sun Aug  8 23:50:15 2021,4012995,CAR,2,4891.0,PC57036DA,PTC,VC965
252.0,Wed Aug 18 07:43:49 2021,2596237,CAR,2,4325.0,PC8FC83B3,PTE,VC965
253.0,Mon Aug  2 17:51:59 2021,8381319,CAR,2,4672.0,PC03AE86F,PTP,VC965
254.0,Wed Aug 11 21:55:31 2021,5062265,TRUCK,4,4147.0,PC4D2C5A7,PTC,VC965
255.0,Mon Aug 16 17:16:35 2021,7705983,CAR,2,4049.0,PC4779D38,PTC,VCB43
256.0,Thu Jul 29 16:35:35 2021,2307979,VAN,2,4748.0,PCF2ECD29,PTE,VC965
257.0,Mon Aug 16 03:21:45 2021,2588561,CAR,2,4654.0,PCBA5D8AB,PTC,VCD2F
258.0,Sun Aug  8 12:39:42 2021,6847371,CAR,2,4890.0,PCAFC8A56,PTC,VC965
